0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,label
-103.3045425415039,-103.3154067993164,-103.93018341064452,-104.8459701538086,-105.61815643310548,-105.5801239013672,-104.60369110107422,-103.72168731689452,-103.46404266357422,-103.9868621826172,-105.32156372070312,-106.75338745117188,-105.38296508789062,-102.03074645996094,-101.04759216308594,-100.44343566894533,-100.54618072509766,-100.99384307861328,-101.8943099975586,-102.85535430908205,-103.7047119140625,-104.201904296875,-104.75118255615234,-105.60009002685548,-106.03538513183594,-104.41873168945312,-102.19351196289062,-101.52639770507812,-101.82305145263672,-103.33006286621094,-105.80756378173828,-107.55738830566406,-104.30594635009766,-103.07830047607422,-104.1118392944336,-105.42274475097656,-106.77236938476562,-105.09577941894533,-102.52664184570312,-102.07996368408205,-101.94099426269533,-102.71780395507812,-104.10572052001952,-105.8939208984375,-105.39787292480467,-102.1018295288086,-101.009033203125,-100.5538330078125,-100.5576629638672,-100.7147979736328,1.0
-97.81370544433594,-99.14263916015624,-101.33934020996094,-103.58949279785156,-102.42121887207033,-99.79412841796876,-100.50928497314452,-101.48716735839844,-103.47725677490234,-104.4661636352539,-102.9190673828125,-102.37105560302734,-103.66253662109376,-104.75823211669922,-103.6941146850586,-101.64591217041016,-102.56793212890624,-105.31392669677734,-110.80418395996094,-102.73065185546876,-95.83809661865234,-97.14881896972656,-95.92588806152344,-97.60923767089844,-99.39513397216795,-103.06681060791016,-106.0395278930664,-105.01931762695312,-104.39768981933594,-106.71238708496094,-106.60107421875,-103.50738525390624,-102.11365509033205,-102.52469635009766,-104.05130004882812,-107.3183364868164,-111.85921478271484,-105.17605590820312,-101.00426483154295,-101.74406433105467,-101.44731903076172,-102.93707275390624,-104.39825439453124,-104.29813385009766,-101.5949935913086,-101.32685089111328,-102.02840423583984,-103.43944549560548,-104.4782257080078,-103.58931732177734,1.0
-101.55326080322266,-100.4507064819336,-100.03675842285156,-99.0915069580078,-97.84172821044922,-97.31311798095705,-98.03712463378906,-100.11173248291016,-103.69735717773438,-107.1004638671875,-101.72489166259766,-100.50223541259766,-102.6741714477539,-104.47083282470705,-105.5469207763672,-102.82044219970705,-103.1530990600586,-104.93841552734376,-104.49898529052734,-99.60477447509766,-98.19074249267578,-98.34959411621094,-99.71248626708984,-102.3616943359375,-106.3379898071289,-107.21709442138672,-101.380126953125,-102.23943328857422,-101.77325439453124,-102.79671478271484,-103.8018569946289,-105.86315155029295,-106.12425231933594,-102.16143035888672,-100.51301574707033,-100.2673110961914,-100.47662353515624,-100.91375732421876,-100.9020538330078,-100.35657501220705,-100.13748931884766,-100.48081970214844,-101.0466079711914,-101.63643646240234,-102.26710510253906,-103.04959869384766,-103.88217163085938,-104.49079132080078,-105.2319107055664,-106.714111328125,1.0
-106.69120025634766,-106.16106414794922,-103.75398254394533,-102.7952117919922,-102.97167205810548,-103.89275360107422,-104.79652404785156,-104.0429916381836,-102.7061538696289,-103.29411315917967,-105.19338989257812,-108.32754516601562,-107.69053649902344,-101.54956817626952,-101.95582580566406,-101.59829711914062,-102.77835083007812,-102.47543334960938,-101.07232666015624,-100.04644775390624,-100.52606201171876,-101.8285140991211,-103.87199401855467,-104.6981430053711,-101.52806854248048,-99.74120330810548,-99.79269409179688,-100.24529266357422,-101.40980529785156,-102.22577667236328,-101.36686706542967,-100.16668701171876,-100.82923126220705,-102.79136657714844,-106.50685119628906,-108.70442199707033,-100.8261260986328,-100.95344543457033,-101.6583023071289,-104.5819320678711,-105.06819152832033,-98.96053314208984,-97.759033203125,-98.44501495361328,-100.39795684814452,-103.6714324951172,-104.96434020996094,-98.66844940185548,-98.84999084472656,-99.78819274902344,1.0
-106.8814697265625,-103.19593811035156,-100.25780487060548,-100.29708099365234,-100.50025177001952,-102.3386688232422,-105.40930938720705,-107.60262298583984,-100.7444076538086,-99.07369232177734,-99.19198608398438,-99.91063690185548,-101.21155548095705,-102.66829681396484,-102.90652465820312,-102.5879898071289,-103.598388671875,-105.32966613769533,-107.262451171875,-107.89946746826172,-106.78658294677734,-105.42554473876952,-103.60100555419922,-102.58704376220705,-102.8718719482422,-104.5417251586914,-106.8836441040039,-104.04268646240234,-99.2274932861328,-99.6399154663086,-99.6786117553711,-101.58786010742188,-103.57778930664062,-104.14635467529295,-101.6754150390625,-101.94969177246094,-102.93084716796876,-103.39586639404295,-101.8546142578125,-100.64432525634766,-101.38015747070312,-103.2651824951172,-106.25415802001952,-106.2763900756836,-101.24700164794922,-101.85247039794922,-102.6721649169922,-105.33576965332033,-108.34805297851562,-107.74445343017578,1.0
-110.08969116210938,-105.02999114990234,-102.55916595458984,-103.98043823242188,-104.49519348144533,-105.1284637451172,-103.75528717041016,-102.87001037597656,-102.47710418701172,-101.55311584472656,-100.36901092529295,-99.85833740234376,-100.27196502685548,-101.46400451660156,-102.97169494628906,-103.5086898803711,-102.30909729003906,-101.47833251953124,-101.11418151855467,-100.59432983398438,-100.16021728515624,-100.27748107910156,-101.29310607910156,-103.33267974853516,-106.24437713623048,-107.33032989501952,-102.62979125976562,-101.75818634033205,-101.87609100341795,-102.90940856933594,-104.59950256347656,-106.00391387939452,-104.2368392944336,-102.42070770263672,-102.74481964111328,-103.15690612792967,-103.5781707763672,-102.89240264892578,-102.24803161621094,-102.48180389404295,-102.88369750976562,-102.17569732666016,-100.19892120361328,-99.12139129638672,-99.09513092041016,-99.88981628417967,-101.5711669921875,-103.85395050048828,-105.2480010986328,-103.08079528808594,1.0
-103.85607147216795,-103.38458251953124,-102.37791442871094,-102.89833068847656,-104.078125,-104.11295318603516,-101.63856506347656,-100.75213623046876,-101.68856048583984,-103.59168243408205,-105.05300903320312,-101.71351623535156,-99.49698638916016,-100.37452697753906,-101.41325378417967,-103.09703826904295,-102.5284194946289,-100.11884307861328,-99.9808578491211,-100.5596694946289,-101.42253875732422,-101.36711120605467,-100.11225128173828,-99.55504608154295,-100.10162353515624,-100.97576141357422,-100.64376068115234,-98.0412139892578,-96.50559997558594,-96.6863250732422,-98.02106475830078,-101.13257598876952,-105.93495178222656,-102.75435638427734,-95.92430877685548,-98.93499755859376,-98.6999053955078,-102.5312271118164,-103.99591827392578,-100.91973876953124,-99.99004364013672,-102.50939178466795,-104.708740234375,-103.58635711669922,-99.30824279785156,-100.56877136230467,-102.06607055664062,-105.58152770996094,-106.1365203857422,-100.81848907470705,1.0
-106.12042236328124,-102.36389923095705,-99.33641052246094,-100.92362213134766,-102.31653594970705,-105.3142547607422,-104.31893157958984,-99.83734130859376,-100.68817901611328,-101.06846618652344,-101.63015747070312,-99.97845458984376,-99.0011215209961,-99.95658111572266,-102.18749237060548,-105.2703628540039,-104.62982177734376,-100.79220581054688,-102.9491958618164,-104.7063217163086,-104.7384796142578,-99.01880645751952,-98.65819549560548,-99.43558502197266,-102.2331085205078,-106.52576446533205,-107.08699035644533,-99.54113006591795,-102.38495635986328,-102.5190887451172,-103.78633880615234,-99.48798370361328,-98.19839477539062,-98.7471923828125,-100.17179107666016,-102.25066375732422,-103.2917938232422,-101.72723388671876,-101.26740264892578,-101.82537078857422,-102.09647369384766,-102.35693359375,-103.20637512207033,-104.89485931396484,-105.5111846923828,-102.70601654052734,-101.33761596679688,-101.72892761230467,-102.42495727539062,-102.86890411376952,1.0
-99.98114013671876,-98.87432098388672,-98.8852081298828,-99.79366302490234,-101.41634368896484,-102.74148559570312,-101.77099609375,-100.34545135498048,-100.92446899414062,-102.13444519042967,-103.83856201171876,-104.18657684326172,-102.40657043457033,-101.68334197998048,-101.69183349609376,-101.63088989257812,-101.62931060791016,-102.07506561279295,-103.15203094482422,-103.9226303100586,-102.7342300415039,-101.14500427246094,-101.29935455322266,-102.27759552001952,-103.63977813720705,-103.16565704345705,-100.62908172607422,-100.04171752929688,-100.37393188476562,-101.0547866821289,-101.13755798339844,-100.19193267822266,-99.5575180053711,-99.93590545654295,-100.88568115234376,-102.13941192626952,-103.38140106201172,-104.9358367919922,-107.55241394042967,-109.7710189819336,-103.86153411865234,-101.32933044433594,-101.4453582763672,-102.2701187133789,-104.53978729248048,-107.44428253173828,-105.40373229980467,-101.30360412597656,-102.00018310546876,-101.47362518310548,1.0
-96.761474609375,-98.07933807373048,-101.08470153808594,-103.17483520507812,-97.25794982910156,-95.75215911865234,-96.45928192138672,-97.0035629272461,-96.6430206298828,-95.3754425048828,-95.44132995605467,-96.96463775634766,-99.6114273071289,-101.94686126708984,-99.1627197265625,-97.19293212890624,-97.93185424804688,-97.19324493408205,-95.92346954345705,-94.93545532226562,-95.33946990966795,-96.2972412109375,-97.0116958618164,-96.12598419189452,-95.09732818603516,-95.44733428955078,-96.20299530029295,-96.78927612304688,-96.51358032226562,-96.26656341552734,-96.8332061767578,-97.4166488647461,-96.98304748535156,-95.98824310302734,-96.18939208984376,-97.53575134277344,-99.73157501220705,-100.7938003540039,-97.54281616210938,-96.14414978027344,-96.63308715820312,-97.5070343017578,-98.93895721435548,-99.98574829101562,-100.23825073242188,-100.43512725830078,-101.11295318603516,-101.2157974243164,-100.1013641357422,-98.62457275390624,1.0
